Window_Start_Time,Dominant Status_output,Dominant Status_testbaru,Match
2025-03-15 15:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-15 18:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-15 21:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-16 00:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-16 03:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-16 06:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-16 09:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-16 12:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-16 15:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-16 18:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-16 21:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-17 00:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-17 03:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-17 06:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-17 09:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-17 12:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-17 15:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-17 18:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-17 21:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-18 00:00:00,Electrical Downhole Problem,100% Watercut,False
2025-03-18 03:00:00,Electrical Downhole Problem,100% Watercut,False
2025-03-18 06:00:00,Electrical Downhole Problem,100% Watercut,False
