Date,FWHP,CHOKE,TIME PROD,OIL,WATER,GROSS,GAS,WC,GOR,CUMM OIL,CUMM OIL
28-Nov-24, 230 , 128 , -   , -   , -   , -   , -   , - , - ," 14,885,457 "," 14,885 "
29-Nov-24, 245 , 128 , 24.00 , 96 ," 5,492 "," 5,589 ", 477 , 98.28 ," 4,962 "," 14,885,553 "," 14,886 "
30-Nov-24, 245 , 128 , 24.00 , 221 ," 5,517 "," 5,738 ", 544 , 96.15 ," 2,464 "," 14,885,774 "," 14,886 "
1-Dec-24, -   , 128 , 24.00 , 223 ," 5,515 "," 5,738 ", 544 , 96.12 ," 2,440 "," 14,885,997 "," 14,886 "
2-Dec-24, 270 , 128 , 24.00 , 220 ," 5,517 "," 5,738 ", 544 , 96.16 ," 2,467 "," 14,886,217 "," 14,886 "
3-Dec-24, 270 , 128 , 24.00 , 416 ," 6,184 "," 6,600 ", 741 , 93.70 ," 1,781 "," 14,886,633 "," 14,887 "
4-Dec-24, 275 , 128 , 24.00 , 415 ," 6,185 "," 6,600 ", 741 , 93.72 ," 1,787 "," 14,887,048 "," 14,887 "
5-Dec-24, 290 , 128 , 24.00 , 414 ," 6,186 "," 6,600 ", 741 , 93.73 ," 1,790 "," 14,887,462 "," 14,887 "
6-Dec-24, 290 , 128 , 24.00 , 413 ," 6,187 "," 6,600 ", 741 , 93.74 ," 1,794 "," 14,887,875 "," 14,888 "
7-Dec-24, 220 , 128 , 24.00 , 520 ," 6,699 "," 7,220 ", 899 , 92.79 ," 1,727 "," 14,888,395 "," 14,888 "
8-Dec-24, 220 , 128 , 24.00 , 520 ," 6,699 "," 7,220 ", 899 , 92.79 ," 1,727 "," 14,888,915 "," 14,889 "
9-Dec-24, 240 , 128 , 24.00 , 518 ," 6,702 "," 7,220 ", 899 , 92.83 ," 1,735 "," 14,889,433 "," 14,889 "
10-Dec-24, 250 , 128 , 22.75 , 491 ," 6,353 "," 6,844 ", 852 , 92.83 ," 1,735 "," 14,889,924 "," 14,890 "
11-Dec-24, 270 , 128 , 24.00 , 518 ," 6,701 "," 7,220 ", 899 , 92.82 ," 1,734 "," 14,890,442 "," 14,890 "
12-Dec-24, 280 , 108 , 24.00 , 535 ," 6,194 "," 6,730 ", 989 , 92.04 ," 1,847 "," 14,890,977 "," 14,891 "
13-Dec-24, 280 , 108 , 24.00 , 536 ," 6,193 "," 6,730 ", 989 , 92.03 ," 1,844 "," 14,891,514 "," 14,892 "
14-Dec-24, 280 , 108 , 24.00 , 535 ," 6,195 "," 6,730 ", 989 , 92.05 ," 1,849 "," 14,892,048 "," 14,892 "
15-Dec-24, 280 , 108 , 24.00 , 536 ," 6,194 "," 6,730 ", 989 , 92.03 ," 1,845 "," 14,892,584 "," 14,893 "
16-Dec-24, 280 , 108 , 24.00 , 534 ," 6,196 "," 6,730 ", 989 , 92.06 ," 1,852 "," 14,893,118 "," 14,893 "
17-Dec-24, 280 , 108 , 24.00 , 535 ," 6,194 "," 6,730 ", 989 , 92.05 ," 1,847 "," 14,893,654 "," 14,894 "
18-Dec-24, 285 , 108 , 24.00 , 538 ," 6,039 "," 6,577 ", 951 , 91.83 ," 1,769 "," 14,894,191 "," 14,894 "
19-Dec-24, 280 , 108 , 24.00 , 536 ," 6,041 "," 6,577 ", 951 , 91.86 ," 1,775 "," 14,894,727 "," 14,895 "
20-Dec-24, 270 , 108 , 24.00 , 536 ," 6,041 "," 6,577 ", 951 , 91.86 ," 1,776 "," 14,895,262 "," 14,895 "
21-Dec-24, 280 , 108 , 24.00 , 537 ," 6,040 "," 6,577 ", 951 , 91.84 ," 1,772 "," 14,895,799 "," 14,896 "
22-Dec-24, 270 , 108 , 24.00 , 536 ," 6,041 "," 6,577 ", 951 , 91.85 ," 1,773 "," 14,896,335 "," 14,896 "
23-Dec-24, 270 , 108 , 24.00 , 537 ," 6,040 "," 6,577 ", 951 , 91.83 ," 1,770 "," 14,896,872 "," 14,897 "
24-Dec-24, 270 , 108 , 24.00 , 537 ," 6,040 "," 6,577 ", 951 , 91.84 ," 1,772 "," 14,897,409 "," 14,897 "
25-Dec-24, 270 , 108 , 24.00 , 531 ," 5,917 "," 6,448 ", 819 , 91.77 ," 1,543 "," 14,897,940 "," 14,898 "
26-Dec-24, 270 , 108 , 24.00 , 530 ," 5,918 "," 6,448 ", 819 , 91.78 ," 1,546 "," 14,898,470 "," 14,898 "
27-Dec-24, 275 , 108 , 24.00 , 529 ," 5,919 "," 6,448 ", 819 , 91.79 ," 1,548 "," 14,898,999 "," 14,899 "
28-Dec-24, 270 , 108 , 24.00 , 527 ," 5,922 "," 6,448 ", 819 , 91.83 ," 1,556 "," 14,899,526 "," 14,900 "
29-Dec-24, 270 , 108 , 24.00 , 526 ," 5,922 "," 6,448 ", 819 , 91.85 ," 1,559 "," 14,900,051 "," 14,900 "
30-Dec-24, 175 , 108 , 14.00 , 307 ," 3,455 "," 3,761 ", 478 , 91.85 ," 1,559 "," 14,900,358 "," 14,900 "
31-Dec-24, -   , 108 , -   , -   , -   , -   , -   , - , - ," 14,900,358 "," 14,900 "
1-Jan-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 14,900,358 "," 14,900 "
2-Jan-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 14,900,358 "," 14,900 "
3-Jan-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 14,900,358 "," 14,900 "
4-Jan-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 14,900,358 "," 14,900 "
5-Jan-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 14,900,358 "," 14,900 "
6-Jan-25, 180 , 128 , -   , -   , -   , -   , -   , - , - ," 14,900,358 "," 14,900 "
7-Jan-25, 230 , 128 , 24.00 , -   ," 3,889 "," 3,889 ", 6 , 100.00 , - ," 14,900,358 "," 14,900 "
8-Jan-25, 230 , 128 , 24.00 , 296 ," 7,152 "," 7,448 ", 629 , 96.03 ," 2,126 "," 14,900,654 "," 14,901 "
9-Jan-25, 200 , 128 , 24.00 , 344 ," 6,985 "," 7,329 ", 732 , 95.31 ," 2,130 "," 14,900,997 "," 14,901 "
10-Jan-25, 205 , 128 , 24.00 , 383 ," 6,753 "," 7,136 ", 795 , 94.63 ," 2,073 "," 14,901,381 "," 14,901 "
11-Jan-25, 215 , 128 , 24.00 , 385 ," 6,751 "," 7,136 ", 795 , 94.60 ," 2,062 "," 14,901,766 "," 14,902 "
12-Jan-25, 210 , 128 , 24.00 , 385 ," 6,752 "," 7,136 ", 795 , 94.61 ," 2,066 "," 14,902,150 "," 14,902 "
13-Jan-25, 210 , 128 , 24.00 , 387 ," 6,749 "," 7,136 ", 795 , 94.58 ," 2,053 "," 14,902,537 "," 14,903 "
14-Jan-25, 215 , 128 , 24.00 , 483 ," 6,836 "," 7,319 ", 988 , 93.40 ," 2,044 "," 14,903,021 "," 14,903 "
15-Jan-25, 230 , 128 , 24.00 , 486 ," 6,832 "," 7,319 ", 987 , 93.36 ," 2,030 "," 14,903,507 "," 14,904 "
16-Jan-25, 230 , 128 , 24.00 , 486 ," 6,832 "," 7,319 ", 987 , 93.36 ," 2,030 "," 14,903,993 "," 14,904 "
17-Jan-25, 220 , 116 , 24.00 , 484 ," 6,835 "," 7,319 ", 987 , 93.38 ," 2,039 "," 14,904,477 "," 14,904 "
18-Jan-25, 220 , 116 , 24.00 , 494 ," 6,910 "," 7,404 ", 894 , 93.32 ," 1,809 "," 14,904,972 "," 14,905 "
19-Jan-25, 220 , 102 , 24.00 , 496 ," 6,909 "," 7,404 ", 894 , 93.30 ," 1,804 "," 14,905,468 "," 14,905 "
20-Jan-25, 220 , 102 , 24.00 , 499 ," 6,877 "," 7,377 ", 888 , 93.23 ," 1,778 "," 14,905,967 "," 14,906 "
21-Jan-25, 220 , 102 , 24.00 , 499 ," 6,877 "," 7,377 ", 888 , 93.23 ," 1,779 "," 14,906,466 "," 14,906 "
22-Jan-25, 220 , 102 , 24.00 , 501 ," 6,876 "," 7,377 ", 888 , 93.21 ," 1,774 "," 14,906,967 "," 14,907 "
23-Jan-25, 215 , 102 , 24.00 , 498 ," 6,879 "," 7,377 ", 888 , 93.25 ," 1,784 "," 14,907,465 "," 14,907 "
24-Jan-25, 220 , 102 , 24.00 , 499 ," 6,877 "," 7,377 ", 888 , 93.23 ," 1,778 "," 14,907,964 "," 14,908 "
25-Jan-25, 220 , 102 , 24.00 , 498 ," 6,878 "," 7,377 ", 888 , 93.25 ," 1,782 "," 14,908,462 "," 14,908 "
26-Jan-25, 220 , 102 , 24.00 , 499 ," 6,878 "," 7,377 ", 888 , 93.24 ," 1,780 "," 14,908,961 "," 14,909 "
27-Jan-25, 220 , 102 , 24.00 , 500 ," 6,876 "," 7,377 ", 888 , 93.22 ," 1,774 "," 14,909,462 "," 14,909 "
28-Jan-25, 220 , 102 , 24.00 , 500 ," 6,877 "," 7,377 ", 888 , 93.22 ," 1,776 "," 14,909,962 "," 14,910 "
29-Jan-25, 220 , 102 , 24.00 , 502 ," 6,875 "," 7,377 ", 888 , 93.20 ," 1,770 "," 14,910,463 "," 14,910 "
30-Jan-25, 240 , 102 , 24.00 , 510 ," 6,840 "," 7,350 ", 875 , 93.06 ," 1,716 "," 14,910,973 "," 14,911 "
31-Jan-25, 220 , 102 , 24.00 , 508 ," 6,842 "," 7,350 ", 875 , 93.09 ," 1,723 "," 14,911,481 "," 14,911 "
1-Feb-25, 220 , 102 , 24.00 , 509 ," 6,841 "," 7,350 ", 875 , 93.08 ," 1,721 "," 14,911,990 "," 14,912 "
2-Feb-25, 220 , 102 , 24.00 , 507 ," 6,843 "," 7,350 ", 875 , 93.10 ," 1,726 "," 14,912,497 "," 14,912 "
3-Feb-25, 220 , 102 , 24.00 , 509 ," 6,841 "," 7,350 ", 875 , 93.08 ," 1,721 "," 14,913,006 "," 14,913 "
4-Feb-25, 220 , 102 , 24.00 , 506 ," 6,844 "," 7,350 ", 875 , 93.11 ," 1,729 "," 14,913,512 "," 14,914 "
5-Feb-25, 220 , 102 , 24.00 , 505 ," 6,845 "," 7,350 ", 875 , 93.13 ," 1,732 "," 14,914,018 "," 14,914 "
6-Feb-25, 220 , 102 , 24.00 , 503 ," 6,847 "," 7,350 ", 875 , 93.16 ," 1,741 "," 14,914,520 "," 14,915 "
7-Feb-25, 220 , 102 , 24.00 , 502 ," 6,848 "," 7,350 ", 875 , 93.17 ," 1,744 "," 14,915,022 "," 14,915 "
