Location,UWI,Reading Time,Average Amps (A) (Raw),Drive Frequency (Hz) (Raw),Intake Pressure (psi) (Raw),Discharge Pressure (psi) (Raw),Intake Temperature (F) (Raw),Motor Temperature (F) (Raw),Vibration (gravit) (Raw),Virtual Rate (BFPD) (Raw)
SKW-15,SKW-15,2025-07-27 15:10:00,0.0,0.0,821.500000000191,821.900000000475,83.600000006,80.799999998,0.00611829726,0.0
SKW-15,SKW-15,2025-07-27 15:19:58,0.0,0.0,820.299999999342,821.600000000262,84.000000002,81.199999994,0.00611829726,0.0
SKW-15,SKW-15,2025-07-27 15:20:00,0.0,0.0,820.299999999342,821.600000000262,84.000000002,81.199999994,0.00611829726,0.0
SKW-15,SKW-15,2025-07-27 15:30:00,0.0,0.0,0.0,0.0,-4.000000330961481e-09,-4.000000330961481e-09,0.0,0.0
SKW-15,SKW-15,2025-07-27 21:40:00,0.0,0.0,824.000000000512,823.700000000299,88.199999996,85.400000006,0.00611829726,0.0
SKW-15,SKW-15,2025-07-27 22:00:00,0.0,0.0,823.199999999945,822.899999999733,89.299999994,94.800000002,0.00611829726,0.0
SKW-15,SKW-15,2025-07-27 22:10:00,18.2,27.0,822.999999999803,1377.29999999931,89.900000006,94.800000002,0.00509858105,1563.6936051292068
SKW-15,SKW-15,2025-07-27 22:33:00,18.2,42.0,819.300000000084,2413.2000000005,91.4,114.900000008,0.00611829726,1302.1886396442328
SKW-15,SKW-15,2025-07-27 22:34:00,18.2,42.0,819.200000000013,2412.60000000008,91.500000008,114.299999996,0.00713801347,1302.2300654988496
SKW-15,SKW-15,2025-07-27 22:35:00,18.1,42.0,818.8999999998,2411.99999999965,91.599999998,114.099999998,0.00611829726,1302.7005055917118
SKW-15,SKW-15,2025-07-27 22:38:00,19.8,45.0,818.399999999446,2410.80000000025,91.799999996,114.099999998,0.00713801347,1271.2549175596648
SKW-15,SKW-15,2025-07-27 22:39:00,19.5,45.0,818.100000000684,2410.2999999999,91.799999996,114.400000004,0.00713801347,1274.0519511645277
SKW-15,SKW-15,2025-07-27 22:42:00,20.3,45.0,817.500000000259,2408.19999999986,92.100000002,115.399999994,0.00713801347,1389.2992991367446
SKW-15,SKW-15,2025-07-27 22:43:00,19.3,45.0,817.500000000259,2407.89999999965,92.100000002,115.599999992,0.00509858105,1275.6341433110174
SKW-15,SKW-15,2025-07-27 22:48:00,20.0,45.0,816.799999999764,2405.0000000005,92.400000008,116.6,0.00611829726,1268.7420374615683
SKW-15,SKW-15,2025-07-27 22:49:00,20.0,45.0,816.899999999834,2404.80000000036,92.400000008,116.400000002,0.00713801347,1268.7655134871434
SKW-15,SKW-15,2025-07-27 22:50:00,19.1,45.0,816.39999999948,2403.79999999965,92.499999998,116.499999992,0.00713801347,1277.1880537957088
SKW-15,SKW-15,2025-07-27 22:51:00,19.2,45.0,816.39999999948,2403.39999999936,92.600000006,116.700000008,0.00611829726,1276.276076527183
SKW-15,SKW-15,2025-07-27 22:53:00,19.3,45.0,816.100000000718,2401.99999999982,92.699999996,116.400000002,0.00611829726,1275.4415770199782
SKW-15,SKW-15,2025-07-27 22:55:00,19.3,45.0,815.800000000506,2400.50000000021,92.800000004,116.799999998,0.00713801347,1275.3588927664098
SKW-15,SKW-15,2025-07-27 22:56:00,18.9,45.0,815.700000000435,2400.2,92.800000004,116.6,0.00713801347,1278.8361321349357
SKW-15,SKW-15,2025-07-27 22:59:00,19.2,45.0,815.600000000364,2398.60000000032,93.000000002,116.6,0.00611829726,1276.2572460036026
SKW-15,SKW-15,2025-07-27 23:00:00,19.5,45.0,815.10000000001,2396.70000000042,93.099999992,116.799999998,0.00611829726,1273.5252902565635
SKW-15,SKW-15,2025-07-27 23:02:00,20.4,45.0,814.999999999939,2396.20000000007,93.099999992,117.199999994,0.00815772968,1387.5561596125358
SKW-15,SKW-15,2025-07-27 23:03:00,20.5,45.0,814.199999999373,2393.79999999982,93.2,117.100000004,0.00815772968,1386.369709011929
SKW-15,SKW-15,2025-07-27 23:04:00,19.7,45.0,814.299999999444,2394.30000000017,93.2,117.399999992,0.00713801347,1271.5353943702103
SKW-15,SKW-15,2025-07-27 23:05:00,19.3,45.0,814.499999999585,2394.50000000031,93.2,117.600000008,0.00713801347,1275.2097396692336
SKW-15,SKW-15,2025-07-27 23:08:00,19.8,45.0,814.000000000681,2392.70000000049,93.300000008,117.899999996,0.00611829726,1270.4673145122451
SKW-15,SKW-15,2025-07-27 23:11:00,19.9,45.0,812.59999999969,2390.1000000001,93.399999998,117.699999998,0.00713801347,1269.5647407308743
SKW-15,SKW-15,2025-07-27 23:12:00,20.6,45.0,812.999999999973,2390.30000000024,93.399999998,118.299999992,0.00611829726,1389.7916025042407
SKW-15,SKW-15,2025-07-27 23:14:00,19.1,45.0,813.100000000044,2389.89999999996,93.399999998,118.000000004,0.00611829726,1276.9450855386237
SKW-15,SKW-15,2025-07-27 23:15:00,19.0,45.0,812.899999999902,2389.69999999981,93.500000006,117.300000002,0.00713801347,1277.8990018912143
SKW-15,SKW-15,2025-07-27 23:17:00,18.7,45.0,812.799999999832,2388.2000000002,93.599999996,117.300000002,0.00611829726,1280.359496920806
SKW-15,SKW-15,2025-07-27 23:18:00,19.3,45.0,812.799999999832,2388.2000000002,93.599999996,117.300000002,0.00611829726,1275.2859174861514
SKW-15,SKW-15,2025-07-27 23:19:00,20.2,45.0,812.399999999548,2386.80000000066,93.700000004,116.999999996,0.00713801347,1266.3922882166335
SKW-15,SKW-15,2025-07-27 23:20:00,20.3,45.0,812.099999999336,2385.69999999988,93.700000004,117.800000006,0.00611829726,1388.7137565929636
SKW-15,SKW-15,2025-07-27 23:22:00,19.8,45.0,812.099999999336,2385.49999999974,93.799999994,117.5,0.00713801347,1270.5408114497516
SKW-15,SKW-15,2025-07-27 23:24:00,19.4,45.0,812.199999999407,2384.40000000041,93.799999994,117.300000002,0.00713801347,1274.3668477277367
SKW-15,SKW-15,2025-07-27 23:26:00,19.8,45.0,811.800000000574,2382.60000000059,93.900000002,116.700000008,0.00611829726,1270.7019786385022
SKW-15,SKW-15,2025-07-27 23:27:00,20.0,45.0,811.700000000503,2380.40000000048,93.999999992,117.800000006,0.00713801347,1268.444194933874
SKW-15,SKW-15,2025-07-27 23:28:00,21.0,45.0,811.700000000503,2380.40000000048,93.999999992,117.800000006,0.00713801347,1410.5542566234396
SKW-15,SKW-15,2025-07-27 23:29:00,20.7,45.0,809.500000000395,2377.90000000016,93.999999992,117.699999998,0.00611829726,1407.3640356995272
SKW-15,SKW-15,2025-07-27 23:30:00,20.8,45.0,808.399999999616,2377.90000000016,93.999999992,118.599999998,0.00611829726,1408.3911244233477
SKW-15,SKW-15,2025-07-27 23:31:00,20.9,45.0,807.300000000288,2378.30000000044,93.900000002,119.199999992,0.00713801347,1409.4793367701768
SKW-15,SKW-15,2025-07-27 23:32:00,20.4,45.0,808.099999999404,2379.19999999963,93.900000002,119.199999992,0.00611829726,1387.4094998872624
SKW-15,SKW-15,2025-07-27 23:35:00,19.1,45.0,810.399999999582,2379.59999999991,93.999999992,118.900000004,0.00611829726,1276.821129906008
SKW-15,SKW-15,2025-07-27 23:39:00,20.8,45.0,808.799999999899,2374.79999999941,94.200000008,118.4,0.00611829726,1408.3545252373685
SKW-15,SKW-15,2025-07-27 23:40:00,20.9,45.0,808.499999999687,2374.0000000003,94.200000008,118.700000006,0.00611829726,1409.43811771444
SKW-15,SKW-15,2025-07-27 23:41:00,20.9,45.0,808.199999999475,2374.0000000003,94.200000008,119.400000008,0.00509858105,1409.3166286766
SKW-15,SKW-15,2025-07-27 23:42:00,20.9,45.0,807.300000000288,2374.10000000037,94.200000008,119.499999998,0.00611829726,1409.3474116898797
SKW-15,SKW-15,2025-07-27 23:43:00,20.6,45.0,806.900000000004,2375.09999999963,94.200000008,119.3,0.00611829726,1389.8001858280147
SKW-15,SKW-15,2025-07-27 23:45:00,19.8,45.0,808.89999999997,2375.59999999998,94.200000008,119.3,0.00611829726,1270.3105557569545
SKW-15,SKW-15,2025-07-27 23:47:00,19.9,45.0,808.89999999997,2374.30000000051,94.299999998,119.100000002,0.00611829726,1269.325262209791
SKW-15,SKW-15,2025-07-27 23:48:00,20.0,45.0,808.599999999758,2373.80000000016,94.299999998,118.700000006,0.00611829726,1268.404061059016
SKW-15,SKW-15,2025-07-27 23:49:00,19.8,45.0,808.699999999829,2373.49999999994,94.400000006,118.700000006,0.00611829726,1270.394539031938
SKW-15,SKW-15,2025-07-27 23:52:00,21.0,45.0,806.199999999508,2369.80000000022,94.499999996,118.999999994,0.00611829726,1410.5636521792271
SKW-15,SKW-15,2025-07-27 23:53:00,20.8,45.0,805.400000000392,2370.00000000037,94.499999996,119.400000008,0.00611829726,1408.2979198490686
SKW-15,SKW-15,2025-07-27 23:54:00,20.8,45.0,805.500000000463,2370.69999999941,94.499999996,119.699999996,0.00815772968,1408.2002355973252
SKW-15,SKW-15,2025-07-27 23:55:00,20.6,45.0,805.999999999367,2370.99999999962,94.499999996,119.899999994,0.00509858105,1389.653051611289
SKW-15,SKW-15,2025-07-27 23:57:00,19.7,45.0,807.800000000642,2372.1000000004,94.600000004,119.899999994,0.00611829726,1271.1559603971423
SKW-15,SKW-15,2025-07-27 23:58:00,20.1,45.0,807.500000000429,2371.80000000019,94.600000004,119.199999992,0.00713801347,1267.2496187341544
SKW-15,SKW-15,2025-07-27 23:59:00,19.7,45.0,807.500000000429,2371.39999999991,94.600000004,119.199999992,0.00713801347,1271.2988166175369
SKW-15,SKW-15,2025-07-28 00:02:00,21.1,45.0,804.699999999897,2366.89999999962,94.699999994,119.800000004,0.00611829726,1411.5301989048626
SKW-15,SKW-15,2025-07-28 00:03:00,21.1,45.0,804.699999999897,2366.89999999962,94.699999994,119.800000004,0.00611829726,1411.5301989048626
SKW-15,SKW-15,2025-07-28 00:04:00,21.0,45.0,803.500000000497,2367.60000000012,94.699999994,120.2,0.00713801347,1410.4316633320257
SKW-15,SKW-15,2025-07-28 00:06:00,20.8,45.0,805.10000000018,2368.30000000061,94.699999994,120.700000004,0.00611829726,1407.9741957376655
SKW-15,SKW-15,2025-07-28 00:08:00,19.7,45.0,806.39999999965,2368.99999999966,94.800000002,120.399999998,0.00611829726,1271.1019335424276
SKW-15,SKW-15,2025-07-28 00:09:00,19.8,45.0,806.299999999579,2368.59999999937,94.800000002,119.800000004,0.00509858105,1270.2499337077265
SKW-15,SKW-15,2025-07-28 00:10:00,19.0,45.0,806.099999999438,2367.39999999998,94.800000002,119.600000006,0.00611829726,1277.6369266551208
SKW-15,SKW-15,2025-07-28 00:11:00,20.7,45.0,805.700000000605,2366.00000000043,94.899999992,119.499999998,0.00509858105,1407.0032334332798
SKW-15,SKW-15,2025-07-28 00:13:00,19.7,45.0,805.800000000676,2365.60000000015,94.899999992,119.899999994,0.00611829726,1271.2125962944583
SKW-15,SKW-15,2025-07-28 00:17:00,21.1,45.0,804.499999999755,2361.50000000015,95.100000008,119.699999996,0.00611829726,1411.4661001636955
SKW-15,SKW-15,2025-07-28 00:18:00,21.1,45.0,804.199999999543,2361.09999999986,95.100000008,120.300000008,0.00713801347,1411.348743555828
SKW-15,SKW-15,2025-07-28 00:19:00,21.3,45.0,802.099999999506,2361.90000000043,95.100000008,120.2,0.00713801347,1413.6181764527719
SKW-15,SKW-15,2025-07-28 00:21:00,20.4,45.0,803.400000000426,2362.99999999976,95.100000008,120.900000002,0.00611829726,1387.0227509839515
SKW-15,SKW-15,2025-07-28 00:22:00,19.8,45.0,804.199999999543,2363.40000000004,95.100000008,120.999999992,0.00611829726,1270.0691859139072
SKW-15,SKW-15,2025-07-28 00:24:00,18.7,45.0,805.000000000109,2364.00000000047,95.199999998,120.500000006,0.00713801347,1279.9481449304508
