Window_Start_Time,Indicator,Dominant Status,Recommendation
2025-07-27 15:00:00,,Shut-in,Shut-in detected. Verify operating schedule and surface conditions. Ensure Amps/Frequency are expected to be zero.
2025-07-27 21:00:00,,Running, 
2025-07-28 00:00:00,,Running, 
2025-07-28 03:00:00,,Running, 
2025-07-28 06:00:00,,Running, 
2025-07-28 09:00:00,,Running, 
2025-07-28 12:00:00,,Running, 
2025-07-28 15:00:00,,Running, 
2025-07-28 18:00:00,,Running, 
2025-07-28 21:00:00,,Running, 
2025-07-29 00:00:00,,Running, 
2025-07-29 03:00:00,,Running, 
2025-07-29 06:00:00,,Running, 
2025-07-29 09:00:00,,Running, 
2025-07-29 12:00:00,,Running, 
2025-07-29 15:00:00,,Running, 
2025-07-29 18:00:00,,Running, 
2025-07-29 21:00:00,,Running, 
2025-07-30 00:00:00,,Running, 
2025-07-30 03:00:00,,Running, 
2025-07-30 06:00:00,,Running, 
2025-07-30 09:00:00,,Running, 
2025-07-30 12:00:00,,Running, 
2025-07-30 15:00:00,,Running, 
2025-07-30 18:00:00,,Running, 
2025-07-30 21:00:00,,Running, 
2025-07-31 00:00:00,,Running, 
2025-07-31 03:00:00,,Running, 
2025-07-31 06:00:00,,Running, 
2025-07-31 09:00:00,,Running, 
2025-07-31 12:00:00,,Running, 
2025-07-31 15:00:00,,Running, 
2025-07-31 18:00:00,,Running, 
2025-07-31 21:00:00,,Running, 
