Date,FWHP,CHOKE,TIME PROD,OIL,WATER,GROSS,GAS,WC,GOR,CUMM OIL,CUMM OIL
24-Aug-25,180,128, -   , -   , -   , -   , -   , - , - ,"946,109",946
25-Aug-25,175,128,24, -   ,492,492,116,100, - ,"946,109",946
26-Aug-25,180,128,24, -   ,492,492,116,100, - ,"946,109",946
27-Aug-25,185,128,24, -   ,492,492,116,100, - ,"946,109",946
28-Aug-25,175,128,24, -   ,492,492,116,100, - ,"946,109",946
29-Aug-25,175,128,22, -   ,441,441,104,100, - ,"946,109",946
30-Aug-25,180,128, -   , -   , -   , -   , -   , - , - ,"946,109",946
31-Aug-25,180,128, -   , -   , -   , -   , -   , - , - ,"946,109",946
1-Sep-25,185,64,9, -   ,185,185,43,100, - ,"946,109",946
2-Sep-25,180,128,13, -   ,267,267,63,100, - ,"946,109",946
3-Sep-25,180,128, -   , -   , -   , -   , -   , - , - ,"946,109",946
4-Sep-25,180,128,13, -   ,262,262,61,100, - ,"946,109",946
5-Sep-25,190,128,23, -   ,472,472,111,100, - ,"946,109",946
6-Sep-25,185,128,22,28,333,361,249,92.2,"8,847","946,137",946
7-Sep-25,190,128,23,29,348,377,260,92.21,"8,852","946,167",946
8-Sep-25,180,128,24,31,371,403,278,92.24,"8,886","946,198",946
9-Sep-25,180,128,23,30,356,386,266,92.29,"8,944","946,228",946
10-Sep-25,180,128,20,26,310,336,232,92.3,"8,955","946,254",946
11-Sep-25,180,128,8,10,124,134,93,92.3,"8,955","946,264",946
12-Sep-25,180,128, -   , -   , -   , -   , -   , - , - ,"946,264",946
13-Sep-25,170,128, -   , -   , -   , -   , -   , - , - ,"946,264",946
14-Sep-25,170,128, -   , -   , -   , -   , -   , - , - ,"946,264",946
15-Sep-25,175,128, -   , -   , -   , -   , -   , - , - ,"946,264",946
16-Sep-25,175,128, -   , -   , -   , -   , -   , - , - ,"946,264",946
17-Sep-25,175,128, -   , -   , -   , -   , -   , - , - ,"946,264",946
