Date,FWHP,CHOKE,TIME PROD,OIL,WATER,GROSS,GAS,WC,GOR,CUMM OIL,CUMM OIL
8-Aug-23,175 ,128 ,- ,- ,- ,- ,- ,- ,#DIV/0!,"187,240 ",187 
9-Aug-23,185 ,128 ,24 ,- ,472 ,472 ,0,100.00 ,#DIV/0!,"187,240 ",187 
10-Aug-23,180 ,128 ,24 ,- ,427 ,427 ,96 ,100.00 ,#DIV/0!,"187,240 ",187 
11-Aug-23,180 ,128 ,24 ,- ,466 ,466 ,131 ,100.00 ,#DIV/0!,"187,240 ",187 
12-Aug-23,180 ,128 ,24 ,- ,422 ,422 ,101 ,100.00 ,#DIV/0!,"187,240 ",187 
13-Aug-23,180 ,128 ,24 ,- ,422 ,422 ,124 ,100.00 ,#DIV/0!,"187,240 ",187 
14-Aug-23,175 ,128 ,24 ,- ,422 ,422 ,124 ,100.00 ,#DIV/0!,"187,240 ",187 
15-Aug-23,175 ,128 ,24 ,- ,383 ,383 ,103 ,100.00 ,#DIV/0!,"187,240 ",187 
16-Aug-23,175 ,128 ,24 ,- ,383 ,383 ,103 ,100.00 ,#DIV/0!,"187,240 ",187 
17-Aug-23,175 ,128 ,24 ,10 ,464 ,474 ,127 ,97.90 ,"12,799 ","187,250 ",187 
18-Aug-23,175 ,128 ,24 ,10 ,464 ,474 ,127 ,97.93 ,"12,926 ","187,259 ",187 
19-Aug-23,175 ,128 ,24 ,36 ,468 ,504 ,116 ,92.94 ,"3,254 ","187,295 ",187 
20-Aug-23,175 ,128 ,24 ,35 ,452 ,487 ,137 ,92.83 ,"3,934 ","187,330 ",187 
21-Aug-23,175 ,128 ,24 ,35 ,452 ,487 ,137 ,92.77 ,"3,902 ","187,365 ",187 
22-Aug-23,170 ,128 ,24 ,35 ,452 ,487 ,137 ,92.80 ,"3,916 ","187,400 ",187 
23-Aug-23,170 ,128 ,24 ,37 ,450 ,487 ,137 ,92.37 ,"3,696 ","187,437 ",187 
24-Aug-23,173 ,128 ,24 ,39 ,463 ,502 ,151 ,92.28 ,"3,889 ","187,476 ",187 
25-Aug-23,170 ,128 ,24 ,41 ,461 ,502 ,151 ,91.83 ,"3,674 ","187,517 ",188 
26-Aug-23,170 ,128 ,24 ,43 ,459 ,502 ,151 ,91.49 ,"3,527 ","187,560 ",188 
27-Aug-23,170 ,128 ,24 ,43 ,459 ,502 ,151 ,91.49 ,"3,527 ","187,603 ",188 
28-Aug-23,170 ,128 ,24 ,45 ,443 ,488 ,161 ,90.74 ,"3,566 ","187,648 ",188 
29-Aug-23,170 ,128 ,24 ,46 ,442 ,488 ,161 ,90.59 ,"3,508 ","187,694 ",188 
30-Aug-23,170 ,128 ,24 ,47 ,441 ,488 ,161 ,90.32 ,"3,412 ","187,741 ",188 
31-Aug-23,170 ,128 ,24 ,47 ,442 ,488 ,161 ,90.43 ,"3,451 ","187,788 ",188 
1-Sep-23,170 ,128 ,24 ,47 ,441 ,488 ,161 ,90.38 ,"3,431 ","187,835 ",188 
2-Sep-23,170 ,128 ,24 ,44 ,432 ,476 ,172 ,90.76 ,"3,921 ","187,879 ",188 
3-Sep-23,170 ,128 ,24 ,44 ,431 ,476 ,172 ,90.71 ,"3,901 ","187,923 ",188 
4-Sep-23,170 ,128 ,24 ,46 ,429 ,476 ,172 ,90.26 ,"3,722 ","187,969 ",188 
5-Sep-23,170 ,128 ,24 ,48 ,438 ,486 ,178 ,90.11 ,"3,701 ","188,017 ",188 
6-Sep-23,170 ,128 ,24 ,48 ,438 ,486 ,178 ,90.08 ,"3,688 ","188,066 ",188 
7-Sep-23,170 ,128 ,24 ,50 ,435 ,486 ,178 ,89.61 ,"3,521 ","188,116 ",188 
8-Sep-23,170 ,128 ,24 ,50 ,435 ,486 ,178 ,89.62 ,"3,524 ","188,166 ",188 
9-Sep-23,175 ,128 ,24 ,53 ,428 ,480 ,202 ,89.06 ,"3,837 ","188,219 ",188 
10-Sep-23,170 ,128 ,24 ,53 ,427 ,480 ,202 ,88.97 ,"3,806 ","188,272 ",188 
11-Sep-23,170 ,128 ,24 ,55 ,425 ,480 ,202 ,88.46 ,"3,638 ","188,327 ",188 
12-Sep-23,170 ,128 ,24 ,56 ,425 ,480 ,202 ,88.41 ,"3,622 ","188,383 ",188 
13-Sep-23,170 ,128 ,24 ,56 ,425 ,480 ,202 ,88.44 ,"3,632 ","188,439 ",188 
14-Sep-23,170 ,128 ,24 ,55 ,425 ,480 ,202 ,88.48 ,"3,644 ","188,494 ",188 
15-Sep-23,170 ,128 ,24 ,58 ,451 ,509 ,203 ,88.67 ,"3,519 ","188,552 ",189 
16-Sep-23,170 ,128 ,24 ,59 ,450 ,509 ,203 ,88.39 ,"3,435 ","188,611 ",189 
17-Sep-23,170 ,128 ,24 ,59 ,450 ,509 ,203 ,88.47 ,"3,458 ","188,669 ",189 
18-Sep-23,170 ,128 ,24 ,60 ,449 ,509 ,203 ,88.17 ,"3,371 ","188,730 ",189 
19-Sep-23,170 ,128 ,24 ,64 ,480 ,544 ,207 ,88.28 ,"3,252 ","188,793 ",189 
20-Sep-23,170 ,128 ,24 ,64 ,481 ,544 ,207 ,88.33 ,"3,265 ","188,857 ",189 
21-Sep-23,170 ,128 ,24 ,69 ,469 ,538 ,167 ,87.23 ,"2,431 ","188,925 ",189 
22-Sep-23,170 ,128 ,24 ,68 ,470 ,538 ,167 ,87.43 ,"2,469 ","188,993 ",189 
23-Sep-23,170 ,128 ,24 ,68 ,470 ,538 ,167 ,87.41 ,"2,465 ","189,061 ",189 
24-Sep-23,170 ,128 ,24 ,67 ,470 ,538 ,167 ,87.45 ,"2,474 ","189,128 ",189 
25-Sep-23,170 ,128 ,24 ,68 ,470 ,538 ,167 ,87.42 ,"2,467 ","189,196 ",189 
26-Sep-23,175 ,128 ,24 ,67 ,470 ,538 ,167 ,87.48 ,"2,480 ","189,263 ",189 
27-Sep-23,175 ,128 ,24 ,67 ,470 ,538 ,167 ,87.45 ,"2,474 ","189,331 ",189 
28-Sep-23,175 ,128 ,24 ,67 ,470 ,538 ,167 ,87.50 ,"2,484 ","189,398 ",189 
29-Sep-23,175 ,128 ,24 ,67 ,470 ,538 ,167 ,87.47 ,"2,477 ","189,465 ",189 
30-Sep-23,175 ,128 ,24 ,67 ,470 ,538 ,167 ,87.51 ,"2,485 ","189,532 ",190 
1-Oct-23,175 ,128 ,24 ,71 ,424 ,495 ,184 ,85.59 ,"2,583 ","189,604 ",190 
2-Oct-23,180 ,128 ,24 ,72 ,424 ,495 ,184 ,85.54 ,"2,574 ","189,675 ",190 
3-Oct-23,180 ,128 ,24 ,79 ,461 ,540 ,201 ,85.38 ,"2,541 ","189,754 ",190 
4-Oct-23,180 ,128 ,24 ,79 ,461 ,540 ,201 ,85.31 ,"2,529 ","189,834 ",190 
5-Oct-23,180 ,128 ,24 ,80 ,460 ,540 ,201 ,85.11 ,"2,495 ","189,914 ",190 
6-Oct-23,180 ,128 ,24 ,80 ,460 ,540 ,201 ,85.16 ,"2,503 ","189,994 ",190 
7-Oct-23,180 ,128 ,24 ,82 ,458 ,540 ,201 ,84.83 ,"2,449 ","190,076 ",190 
8-Oct-23,180 ,128 ,24 ,83 ,457 ,540 ,201 ,84.60 ,"2,412 ","190,159 ",190 
9-Oct-23,180 ,128 ,24 ,85 ,481 ,566 ,193 ,84.93 ,"2,264 ","190,245 ",190 
10-Oct-23,180 ,128 ,24 ,85 ,481 ,566 ,193 ,84.93 ,"2,263 ","190,330 ",190 
11-Oct-23,180 ,128 ,24 ,85 ,481 ,566 ,193 ,84.98 ,"2,271 ","190,415 ",190 
12-Oct-23,180 ,128 ,24 ,85 ,481 ,566 ,193 ,84.93 ,"2,263 ","190,501 ",191 
13-Oct-23,180 ,128 ,24 ,86 ,481 ,566 ,193 ,84.90 ,"2,259 ","190,586 ",191 
14-Oct-23,180 ,128 ,24 ,86 ,481 ,566 ,193 ,84.85 ,"2,251 ","190,672 ",191 
15-Oct-23,170 ,128 ,24 ,85 ,470 ,554 ,196 ,84.73 ,"2,316 ","190,757 ",191 
16-Oct-23,170 ,128 ,24 ,85 ,469 ,554 ,196 ,84.69 ,"2,311 ","190,841 ",191 
17-Oct-23,170 ,128 ,24 ,85 ,469 ,554 ,196 ,84.66 ,"2,305 ","190,926 ",191 
18-Oct-23,170 ,128 ,24 ,85 ,469 ,554 ,196 ,84.70 ,"2,312 ","191,011 ",191 
19-Oct-23,170 ,128 ,24 ,85 ,469 ,554 ,196 ,84.69 ,"2,311 ","191,096 ",191 
20-Oct-23,175 ,128 ,24 ,86 ,469 ,554 ,196 ,84.56 ,"2,291 ","191,182 ",191 
21-Oct-23,175 ,128 ,24 ,85 ,469 ,554 ,196 ,84.58 ,"2,293 ","191,267 ",191 
22-Oct-23,180 ,128 ,24 ,85 ,447 ,532 ,180 ,84.03 ,"2,114 ","191,352 ",191 
23-Oct-23,175 ,128 ,24 ,85 ,447 ,532 ,180 ,84.06 ,"2,117 ","191,437 ",191 
24-Oct-23,170 ,128 ,24 ,87 ,445 ,532 ,180 ,83.73 ,"2,075 ","191,523 ",192 
25-Oct-23,170 ,128 ,24 ,90 ,442 ,532 ,180 ,83.13 ,"2,001 ","191,613 ",192 
26-Oct-23,170 ,128 ,24 ,88 ,444 ,532 ,180 ,83.42 ,"2,036 ","191,701 ",192 
27-Oct-23,170 ,128 ,24 ,90 ,442 ,532 ,180 ,83.13 ,"2,000 ","191,791 ",192 
28-Oct-23,170 ,128 ,24 ,91 ,441 ,532 ,180 ,82.89 ,"1,972 ","191,882 ",192 
29-Oct-23,170 ,128 ,24 ,92 ,439 ,532 ,180 ,82.61 ,"1,941 ","191,975 ",192 
30-Oct-23,170 ,128 ,24 ,94 ,438 ,532 ,180 ,82.37 ,"1,914 ","192,068 ",192 
31-Oct-23,170 ,128 ,24 ,92 ,440 ,532 ,180 ,82.70 ,"1,951 ","192,160 ",192 
1-Nov-23,170 ,128 ,24 ,92 ,440 ,532 ,180 ,82.65 ,"1,945 ","192,253 ",192 
2-Nov-23,170 ,128 ,24 ,95 ,436 ,532 ,180 ,82.05 ,"1,880 ","192,348 ",192 
3-Nov-23,170 ,128 ,24 ,97 ,435 ,532 ,180 ,81.72 ,"1,847 ","192,445 ",192 
4-Nov-23,170 ,128 ,24 ,99 ,433 ,532 ,180 ,81.45 ,"1,820 ","192,544 ",193 
